n_samples,mse,rmse,mae,r2,pearson_r,sampling_time_seconds
50,0.3857468275044133,0.621085201485604,0.5029450361748342,0.3104510220499048,0.5672409042513687,
55,0.40606470002298883,0.6372320613583319,0.5174898469687844,0.27413142787477496,0.5297776810857613,1.2530408999882638
60,0.3851229128854675,0.6205827204212727,0.509968505806547,0.3115663123313712,0.5780824746783584,1.2596737999701872
65,0.38376982762908374,0.6194915880212448,0.5097181005797238,0.3139850452647175,0.5791833006745528,1.2183684000046924
70,0.3783962011216458,0.6151391721567127,0.5048209037629282,0.3235907721350103,0.5873525120937457,1.3376223999657668
75,0.37604247050961187,0.6132230185744921,0.5017613053448342,0.32779822744552567,0.590020958918206,1.2508744000224397
80,0.3571577743196043,0.5976267851423699,0.48940446409049726,0.36155592038875217,0.6194705923515087,1.2488276999793015
85,0.3586670818818804,0.5988882048278129,0.4932323724485635,0.3588579293418448,0.6336945739852956,1.239549399993848
90,0.3583406812107167,0.5986156372921749,0.4870482616544475,0.35944139298471967,0.6291318003391003,1.2248858000384644
95,0.3516739912462606,0.5930210715027423,0.48164936983348067,0.3713585596949197,0.6417711796212237,1.1987069000024348
100,0.3617483188878436,0.6014551678120685,0.49373820840928184,0.35335000632915425,0.6314522009508308,1.196971500001382
105,0.34960024840622345,0.5912700300253881,0.4864313719409945,0.3750655176111518,0.6459725951403517,1.212765500007663
110,0.34815640469270653,0.5900477986508437,0.48673522232370164,0.37764648752713614,0.6489229083117325,1.2674342000391334
115,0.35205054020759324,0.5933384701901548,0.4877507374216022,0.370685452535193,0.6380217151047494,1.1916578999953344
120,0.3458478183158724,0.588088274254701,0.4864345421587292,0.38177324441313354,0.6510116200003594,1.1472537000081502
125,0.3338410474537987,0.5777897952143138,0.4767660413938121,0.4032361729094909,0.666455374133237,1.221964200027287
130,0.3438810952592299,0.5864137577335903,0.4786387373760773,0.3852888971079136,0.6421277714543029,1.1450835999567062
135,0.3483254155483221,0.5901909992098507,0.48021884735226517,0.3773443690016096,0.639355325034544,1.0871658999822102
140,0.33604982660249494,0.5796980477822009,0.4742435877720718,0.399287828306492,0.655971133441818,1.1259546999935992
145,0.3245469988826757,0.5696902657433034,0.46483347053259666,0.41984992378515584,0.672559644183753,1.091201999981422
150,0.3247015981258027,0.5698259366910238,0.4658746768975415,0.41957356700788884,0.6692524455618177,1.1305640999926254
155,0.33623268758206526,0.579855747218276,0.4710146709511601,0.3989609517320678,0.6489295361045219,1.1298292999854311
160,0.33817601075104,0.581529028296129,0.4742427528789226,0.39548712794546026,0.6468760563717519,1.076638400030788
165,0.3403924488199158,0.5834316145187162,0.46945590980895024,0.3915250924960162,0.6370156844631578,1.0691967000020668
170,0.3281012579717833,0.5728012377533618,0.46655960071058006,0.4134964412740496,0.6598569279344423,1.0839076999691315
175,0.3212348472249719,0.5667758350750074,0.4581080956226519,0.42577062261542475,0.6644397787554305,1.100661600008607
180,0.32589360291723685,0.5708709161598942,0.4633725277067128,0.41744277648146344,0.6591832382732428,1.0766900000162423
185,0.32133700229716294,0.5668659473783576,0.456949209219337,0.4255880133997445,0.6635569652655992,1.1237677999888547
190,0.3216116877914013,0.5671081799722177,0.4575445629820718,0.425096994191537,0.6630084082570187,1.045792100019753
195,0.32065039144697793,0.56626000339683,0.45625817947229286,0.426815377505517,0.6652963311079795,1.06133380002575
200,0.3189162387122196,0.5647266938194259,0.4561147922498066,0.42991529475849377,0.6653838660523133,1.0258520999923348
205,0.3238430216755381,0.5690720707217479,0.45258385763359116,0.42110833144808424,0.656102103238438,1.081053800007794
210,0.32778171868315253,0.5725222429593042,0.4575153890829282,0.4140676397238612,0.65032440038187,1.1067084000096656
215,0.3251268926687446,0.5701989939211964,0.4567539509649447,0.41881332376931024,0.656522445485927,1.033181999984663
220,0.3224093098809857,0.5678109807682357,0.4549618062971547,0.42367118986225305,0.6623683800387415,1.0296775999595411
225,0.32380284999035785,0.5690367738471371,0.4609844594577624,0.42118014109753166,0.6609736568123906,1.0132703999988735
230,0.3198511424520983,0.5655538369174931,0.4596288970855801,0.4282440900398815,0.6704048073029235,1.02620779996505
235,0.31498227317721533,0.5612328154849958,0.4541795477083978,0.4369475286500921,0.673703118550858,1.038547699979972
240,0.31966312531883956,0.565387588578702,0.456207033756906,0.42858018359355876,0.6688797668018297,1.0345377000048757
245,0.31289305135903905,0.5593684397238006,0.44820344707593923,0.4406821563040758,0.6783559169960872,1.0480145000037737
250,0.3101854571487994,0.5569429568176614,0.44459782023165745,0.4455221671278926,0.6798560436963879,1.0640540000167675
255,0.3120956789255953,0.5586552415628043,0.44759504089334257,0.44210751435584217,0.6785816210817831,1.0561703000566922
260,0.3111630859333099,0.5578199404228124,0.4448564412550276,0.44377458845424544,0.6785071653335978,1.1217583999969065
265,0.31367412068376793,0.5600661752719654,0.4471531631857735,0.4392859411801321,0.6712753181181125,1.0187046999926679
270,0.31101470030152245,0.5576869196076975,0.4432460507786464,0.4440398379739977,0.6754667867250275,1.0321891999919899
275,0.31104170948587484,0.5577111344467446,0.4446124410408011,0.44399155719982786,0.673379330148117,1.0213394000311382
280,0.31192784666253826,0.5585050104184727,0.4470509207007459,0.4424075260661309,0.6724826015312168,1.0410821000114083
285,0.3088921345752847,0.5557806532934415,0.44392599585500003,0.4478340701563541,0.6758473649943165,1.0116601000190713
290,0.31354937839437036,0.5599548003137131,0.44535052463430935,0.43950892659965646,0.6691116657920178,1.0080438000150025
295,0.30522888030178835,0.5524752304871128,0.436538596049779,0.4543823890540172,0.6809341780406819,1.006824099982623
300,0.30803908191446105,0.5550126862644322,0.435743128074558,0.4493589604431104,0.6750160853682059,1.0003766000154428
305,0.3155558516832057,0.5617435817908432,0.4420623282025967,0.43592221763162287,0.6635215529926508,1.0652886000461876
310,0.30761747896495406,0.5546327424205625,0.4359977689537292,0.4501126047045917,0.6760677543125717,0.9909882000065409
315,0.3048029275701018,0.5520896010341997,0.434209548636105,0.45514380885023353,0.6798259940451837,1.0039656999870203
320,0.30563148583865996,0.5528394756515312,0.43647242141922654,0.45366270397387565,0.680647973099883,0.9859930000384338
325,0.30654200491679623,0.553662356420225,0.43949520499980665,0.4520350885148068,0.6785768001977801,0.976442999963183
330,0.3043236573405406,0.5516553791458402,0.43787677431143646,0.456000537339989,0.6803124153085113,0.9700666999560781
335,0.3040386476018337,0.551396996366351,0.4395638251455525,0.45651001184507467,0.680657755856023,0.924652400019113
340,0.3010359183839711,0.5486674023340289,0.4344759825533426,0.4618775967883737,0.6831162438997728,0.9199322999920696
345,0.30302283760866966,0.5504751017154814,0.43405917157113266,0.45832584205451365,0.6791897809178448,0.9223624999867752
350,0.3019104665099982,0.54946379908962,0.4340164457568784,0.46031428187954715,0.6808939379831472,0.914522200007923
355,0.3015988187402286,0.5491801332351969,0.434276231194779,0.460871373696777,0.6816177237103871,0.8860584000358358
360,0.30429639128615443,0.5516306656506276,0.4335655341841437,0.4560492772870065,0.6775358031745403,0.88944740005536
365,0.3056046826159964,0.552815233704713,0.4361009511976796,0.4537106165773648,0.6768403699404096,0.8793200000072829
370,0.3045695313870304,0.5518781852791704,0.43596874814900555,0.4555610205756948,0.679449984254085,0.8853305000229739
375,0.30580578823596416,0.5529970960465924,0.4335548901383978,0.45335112645373654,0.6769322774344487,0.8790324000292458
380,0.30411983865452125,0.5514706144977457,0.434220215779558,0.4563648772557338,0.6795529959632342,0.8703606000053696
385,0.30442581833358506,0.5517479663157673,0.4327079656781768,0.45581791754037604,0.678108622137502,0.8790210000006482
390,0.31239207704504074,0.558920456813884,0.43800939294513813,0.44157768233712624,0.6679553687386224,0.8797740999725647
395,0.3032698995231228,0.5506994638849059,0.43488964552936465,0.4578842018945577,0.6801824798580691,0.8763935000170022
